x,y
1850,-0.7563450068878669
1851,-0.7812936383946895
1852,-0.8311909014083346
1853,-0.5318073233264642
1854,-0.28232100825823886
1855,-0.5567559548332868
1856,-0.8810881644219796
1857,-0.9559340589424472
1858,-0.6316018493537543
1859,-0.2573723767514163
1860,-0.6316018493537543
1861,-0.8311909014083346
1862,-0.8311909014083346
1863,-0.4569614288059965
1864,-0.5817045863401092
1865,-0.5817045863401092
1866,-0.30726963976506133
1867,-0.6565504808605768
1868,-0.38211553428552897
1869,-0.5068586918196416
1870,-0.2573723767514163
1871,-0.15757785072412617
1872,-0.6565504808605768
1873,-0.7812936383946895
1874,-0.8561395329151571
1875,-0.6814991123673994
1876,-0.5318073233264642
1877,-0.05778332469683602
1878,0.5160351999600823
1879,-0.23242374524459375
1880,-0.40706416579235155
1881,-0.33221827127188386
1882,-0.1825264822309487
1883,-0.5817045863401092
1884,-0.9060367959288022
1885,-0.806242269901512
1886,-0.806242269901512
1887,-0.806242269901512
1888,-0.9808826904492698
1889,-0.007886061683190965
1890,-0.7064477438742219
1891,-0.6565504808605768
1892,-0.806242269901512
1893,-0.8561395329151571
1894,-0.5318073233264642
1895,-0.9060367959288022
1896,-0.5318073233264642
1897,-0.4819100603128191
1898,-1.330163531544785
1899,-0.9060367959288022
1900,-0.23242374524459375
1901,-0.05778332469683602
1902,-0.806242269901512
1903,-0.5567559548332868
1904,-1.4798553205857206
1905,-1.0557285849697373
1906,-0.6316018493537543
1907,-0.7812936383946895
1908,-1.4299580575720754
1909,-1.454906689078898
1910,-1.4299580575720754
1911,-1.604598478119833
1912,-0.9559340589424472
1913,-1.130574479490205
1914,-0.6066532178469317
1915,-0.28232100825823886
1916,-0.806242269901512
1917,-1.7542902671607683
1918,-0.8561395329151571
1919,-0.6316018493537543
1920,-0.432012797299174
1921,-0.7313963753810445
1922,-0.432012797299174
1923,-0.9808826904492698
1924,-0.33221827127188386
1925,-0.806242269901512
1926,0.06695983283727663
1927,-0.9808826904492698
1928,-0.7313963753810445
1929,-0.9309854274356246
1930,-0.35716690277870644
1931,-0.30726963976506133
1932,-0.4819100603128191
1933,-0.7812936383946895
1934,-0.9060367959288022
1935,-0.4819100603128191
1936,-0.6565504808605768
1937,-0.6066532178469317
1938,-0.007886061683190965
1939,-0.5567559548332868
1940,0.1667543588645668
1941,0.1168570958509217
1942,0.042011201330454113
1943,-0.20747511373777125
1944,0.5908810944805498
1945,0.06695983283727663
1946,-0.10768058771048108
1947,-0.03283469319001349
1948,-0.6814991123673994
1949,-0.05778332469683602
1950,-0.35716690277870644
1951,-0.5567559548332868
1952,-0.23242374524459375
1953,0.21665162187821183
1954,-0.5068586918196416
1955,-0.8810881644219796
1956,-0.5567559548332868
1957,-0.38211553428552897
1958,0.14180572735774422
1959,0.316446147905502
1960,-0.7812936383946895
1961,0.09190846434409919
1962,0.24160025338503438
1963,-0.4819100603128191
1964,-0.5318073233264642
1965,-0.432012797299174
1966,-0.23242374524459375
1967,-0.03283469319001349
1968,0.26654888489185696
1969,0.042011201330454113
1970,0.01706256982363159
1971,-0.38211553428552897
1972,-0.007886061683190965
1973,0.69067562050784
1974,-0.1825264822309487
1975,0.1168570958509217
1976,-0.4819100603128191
1977,0.44118930543961465
1978,0.39129204242596954
1979,0.34139477941232454
1980,0.6158297259873724
1981,0.9651105670828879
1982,0.1168570958509217
1983,0.9401619355760653
1984,0.5409838314669049
1985,0.46613793694643724
1986,0.6657269890010176
1987,0.21665162187821183
1988,0.9900591985897105
1989,0.7405728835214851
1990,1.7884154068080316
1991,0.7904701465351301
1992,0.9651105670828879
1993,0.7904701465351301
1994,0.5908810944805498
1995,1.064905093110178
1996,0.7405728835214851
1997,1.1148023561238232
1998,1.5389290917398062
1999,0.8154187780419527
2000,1.3143914081784032
2001,1.2644941451647582
2002,1.9630558273557892
2003,1.3642886711920483
2004,1.4890318287261612
2005,1.7385181437943864
2006,1.5139804602329836
2007,1.5638777232466285
2008,1.6886208807807412
2009,1.1896482506442907
2010,2.087798984889902
2011,1.5389290917398062
2012,1.1896482506442907
2013,1.5389290917398062
2014,1.8882099328353215
2015,2.2624394054376595
2016,3.210487402696916
2017,2.7614120355741103
2018,2.1626448794103696
2019,2.7364634040672877
2020,2.7364634040672877
2021,2.0379017218762567
2022,2.6117202465331752
2023,2.936052456121868
